company,role,salary,reason
Atomone,Campus Hire,5LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Atomone,Campus Hire,,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
averixis,BDA,6LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Codeyoung,BDA,8.36LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Eduveda Academy,BDA,6.5LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Eduveda Academy,BDA,,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Eduveda Academy,BDA,6.5 LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Grow Your Skills LLP,Campus Hire,5.7Lpa,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Jade Global,Software engineer,10LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Jyesta,BDA,9 Lpa,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Jyesta,BDA,7-9 LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Jyesta,Campus Hire,45847,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
LAW SIKHO,Campus Hire,,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Movidu,BDA,6 LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Nyera's Edutec,BDA,4-7.5LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Nyera's Edutec,BDA,4-7.5 Lpa,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
Pursuit Future Technologies,BDA,4-6 LPA,min_cgpa_defaulted_to_zero_no_valid_student_cgpa
