id,title,companyId,description,minCgpa,requiredSkills,eligibleBranches,status,jobType,stipendAmount,ppoAmount,ctcAmount,createdAt,updatedAt
30000,FACULTY - Aakash,20000,"Aakash is hiring for the FACULTY role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 6.2. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.2,"{""Subject Knowledge"",""Teaching"",""Communication"",""Mentoring""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,900000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30001,AEH - Accenture,20001,"Accenture is hiring for the AEH role through the 2026 campus placement process. This posting is open to Computer Science and Engineering students with minimum CGPA 7.78. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.78,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Computer Science and Engineering""}",OPEN,FTE_ONLY,,,1056000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30002,AEH - Accenture,20001,"Accenture is hiring for the AEH role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 6. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,1089000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30003,AEH - Accenture,20001,"Accenture is hiring for the AEH role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 7.513. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.513,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,1089000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30004,AEH - Accenture,20001,"Accenture is hiring for the AEH role through the 2026 campus placement process. This posting is open to Electronics and Communication Engineering students with minimum CGPA 7.5. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",7.5,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Electronics and Communication Engineering""}",OPEN,FTE_ONLY,,,1089000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30005,AEH - Accenture,20001,"Accenture is hiring for the AEH role through the 2026 campus placement process. This posting is open to Information Technology students with minimum CGPA 6.238. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.238,"{""Problem Solving"",""Communication"",""Technical Aptitude""}","{""Information Technology""}",OPEN,FTE_ONLY,,,1089000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30006,BDA - Acmegrade,20002,"Acmegrade is hiring for the BDA role through the 2026 campus placement process. This posting is open to Civil Engineering students with minimum CGPA 5.54. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",5.54,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Civil Engineering""}",OPEN,FTE_ONLY,,,800000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30007,BDA - Acmegrade,20002,"Acmegrade is hiring for the BDA role through the 2026 campus placement process. This posting is open to Computer Science and Engineering, Information Technology students with minimum CGPA 6.16. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.16,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Computer Science and Engineering"",""Information Technology""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30008,BDA - Acmegrade,20002,"Acmegrade is hiring for the BDA role through the 2026 campus placement process. This posting is open to Mechanical Engineering students with minimum CGPA 6.607. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.607,"{""Communication"",""Sales"",""Business Development"",""Presentation""}","{""Mechanical Engineering""}",OPEN,FTE_ONLY,,,600000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
30009,GeT - Aditya Birla Group,20003,"Aditya Birla Group is hiring for the GeT role through the 2026 campus placement process. This posting is open to Metallurgical and Materials Engineering students with minimum CGPA 6.987. Responsibilities and selection expectations are inferred from the company, role and offer data in the placement sheet.",6.987,"{""Engineering Fundamentals"",""Problem Solving"",""Technical Aptitude"",""Communication""}","{""Metallurgical and Materials Engineering""}",OPEN,FTE_ONLY,,,750000,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
